"category_english","year","total_orders","revenue","aov"
"health_beauty",2018,5934,883224.71,148.84
"watches_gifts",2018,3689,768226.25,208.25
"bed_bath_table",2018,5864,648857.47,110.65
"sports_leisure",2018,4518,621239.48,137.50
"computers_accessories",2018,4697,593112.69,126.27
"bed_bath_table",2017,5215,589604.91,113.06
"health_beauty",2017,3656,549126.80,150.20
"sports_leisure",2017,4087,529991.42,129.68
"watches_gifts",2017,2274,527433.08,231.94
"housewares",2018,4042,491102.49,121.50
"furniture_decor",2018,4107,475005.18,115.66
"computers_accessories",2017,3083,458414.79,148.69
"cool_stuff",2017,2305,442161.86,191.83
"furniture_decor",2017,4140,418426.96,101.07
"auto",2018,2613,403564.06,154.44
"toys",2017,2598,355292.64,136.76
"garden_tools",2017,2455,321281.99,130.87
"baby",2018,1770,298672.58,168.74
"housewares",2017,2900,284821.91,98.21
"auto",2017,1601,278195.41,173.76
"cool_stuff",2018,1473,273910.05,185.95
"garden_tools",2018,1876,258640.29,137.87
"perfumery",2017,1742,241891.66,138.86
"telephony",2018,2328,216888.63,93.17
"perfumery",2018,1629,203634.02,125.01
"toys",2018,1480,199999.54,135.13
"office_furniture",2018,880,181155.37,205.86
"baby",2017,1272,177879.08,139.84
"telephony",2017,2193,176196.03,80.34
"stationery",2018,1529,164354.87,107.49
"computers",2017,128,163605.08,1278.16
"office_furniture",2017,799,158701.67,198.63
"pet_shop",2018,1158,152591.04,131.77
"construction_tools_construction",2018,791,140788.64,177.99
"electronics",2018,1857,134059.73,72.19
"musical_instruments",2018,397,121166.74,305.21
"stationery",2017,981,112357.03,114.53
"small_appliances",2017,322,109458.65,339.93
"consoles_games",2017,705,100157.12,142.07
"pet_shop",2017,781,99852.75,127.85
"fashion_bags_accessories",2017,1137,98234.81,86.40
"small_appliances",2018,357,97210.18,272.30
"home_appliances_2",2018,148,96128.22,649.52
"luggage_accessories",2017,597,93139.75,156.01
"musical_instruments",2017,282,88661.06,314.40
"fashion_bags_accessories",2018,876,84326.72,96.26
"luggage_accessories",2018,491,77045.41,156.92
"consoles_games",2018,418,72809.77,174.19
"electronics",2017,901,71167.03,78.99
"home_construction",2018,461,69357.77,150.45
"computers",2018,74,67860.80,917.04
"home_appliances",2018,526,66315.43,126.07
"small_appliances_home_oven_and_coffee",2018,72,49297.59,684.69
"agro_industry_and_commerce",2018,151,47262.18,312.99
"furniture_living_room",2017,262,44110.59,168.36
"construction_tools_lights",2018,285,43589.87,152.95
"home_confort",2017,278,42886.46,154.27
"furniture_living_room",2018,241,42774.14,177.49
"industry_commerce_and_business",2018,228,37185.70,163.10
"audio",2018,194,36228.70,186.75
"construction_tools_safety",2018,151,35409.30,234.50
"kitchen_dining_laundry_garden_furniture",2018,161,34951.25,217.09
"fixed_telephony",2017,156,32914.41,210.99
"books_general_interest",2018,316,32252.80,102.07
"agro_industry_and_commerce",2017,61,31111.89,510.03
"air_conditioning",2017,130,30980.16,238.31
"fixed_telephony",2018,102,30497.86,299.00
"air_conditioning",2018,157,28889.12,184.01
"home_appliances",2017,241,28440.24,118.01
"home_appliances_2",2017,89,27626.32,310.41
"home_construction",2017,143,27562.59,192.75
"food",2018,380,25620.55,67.42
"home_confort",2018,156,24186.81,155.04
"construction_tools_construction",2017,133,23830.45,179.18
"books_general_interest",2017,235,23624.38,100.53
"kitchen_dining_laundry_garden_furniture",2017,119,23179.83,194.79
"market_place",2017,191,22891.34,119.85
"drinks",2018,287,21834.06,76.08
"signaling_and_security",2018,150,21804.51,145.36
"costruction_tools_garden",2018,160,20492.69,128.08
"audio",2017,167,19957.08,119.50
"fashion_shoes",2017,189,18103.92,95.79
"art",2018,168,17947.63,106.83
"books_technical",2018,222,16570.43,74.64
"furniture_bedroom",2018,64,13992.43,218.63
"costruction_tools_tools",2018,81,13448.20,166.03
"food",2017,126,10681.08,84.77
"furniture_bedroom",2017,45,10668.58,237.08
"costruction_tools_garden",2017,78,10534.60,135.06
"art",2017,41,10300.18,251.22
"fashion_shoes",2018,71,10118.42,142.51
"food_drink",2018,147,10118.00,68.83
"fashion_male_clothing",2017,105,10103.96,96.23
"industry_commerce_and_business",2017,35,9787.89,279.65
"food_drink",2017,131,9569.47,73.05
"market_place",2018,107,9364.01,87.51
"construction_tools_safety",2017,43,9054.32,210.57
"fashion_underwear_beach",2017,88,8341.53,94.79
"christmas_supplies",2018,90,8078.50,89.76
"cine_photo",2018,64,7253.71,113.34
"tablets_printing_image",2017,61,7212.78,118.24
"books_technical",2017,44,6508.85,147.93
"drinks",2017,92,6335.89,68.87
"dvds_blu_ray",2017,39,5613.28,143.93
"signaling_and_security",2017,46,5603.96,121.83
"music",2018,27,4994.58,184.98
"construction_tools_lights",2017,18,4795.96,266.44
"costruction_tools_tools",2017,22,4485.97,203.91
"books_imported",2018,44,4090.71,92.97
"christmas_supplies",2017,63,3951.62,62.72
"furniture_mattress_and_upholstery",2017,18,3309.90,183.88
"party_supplies",2018,32,3278.41,102.45
"fashion_underwear_beach",2018,43,3116.21,72.47
"fashion_male_clothing",2018,26,2810.41,108.09
"furniture_mattress_and_upholstery",2018,20,2688.64,134.43
"fashio_female_clothing",2017,31,2572.39,82.98
"fashion_sport",2017,24,2227.36,92.81
"party_supplies",2017,11,2034.74,184.98
"arts_and_craftmanship",2018,22,2008.92,91.31
"diapers_and_hygiene",2018,36,1890.58,52.52
"music",2017,11,1730.28,157.30
"dvds_blu_ray",2018,25,1674.85,66.99
"tablets_printing_image",2018,22,1541.83,70.08
"la_cuisine",2017,10,1497.69,149.77
"books_imported",2017,16,1318.99,82.44
"flowers",2018,25,1216.64,48.67
"cine_photo",2017,8,935.95,116.99
"small_appliances_home_oven_and_coffee",2017,4,895.98,224.00
"la_cuisine",2018,4,890.85,222.71
"home_comfort_2",2017,20,886.67,44.33
"cds_dvds_musicals",2017,13,837.41,64.42
"fashio_female_clothing",2018,16,783.37,48.96
"fashion_childrens_clothes",2017,5,471.32,94.26
"fashion_sport",2018,5,431.19,86.24
"flowers",2017,8,382.27,47.78
"security_and_services",2017,2,324.51,162.26
"home_comfort_2",2018,10,283.91,28.39
"fashion_childrens_clothes",2018,3,194.04,64.68
"arts_and_craftmanship",2017,2,175.22,87.61
"cds_dvds_musicals",2018,1,117.58,117.58
"diapers_and_hygiene",2017,2,99.70,49.85
